,Composition,Phase,Temperature,process,grain_size_micro,ultimate tensile strength
240,Mn19.1Cr19.9Fe19.5Co20.6Ni20.9,,298.0,['CW'],0.07,1175000000.0
241,Mn34.8Al7.5Cr6Fe40.4Ni11.3,,298.0,['AC'],,535000000.0
242,Cr12.5Fe55Co18Ni7Mo7.5,"['FCC', 'mu']",298.0,"['CW', 'A']",120.6,693000000.0
243,FeCoNi,['FCC'],298.0,"['CW', 'A']",90,430000000.0
244,HfZrTaTi,['BCC'],298.0,['AC'],,1500000000.0
245,Al0.3Cr1Fe1Co1Ni1,"['B2', 'BCC', 'FCC', 'sigma']",298.0,"['CW', 'A']",,1850000000.0
246,Cr(CoNi)2,['FCC'],298.0,"['CW', 'A']",1.46,626000000.0
247,CrFeCoNi,['FCC'],20.0,"['A', 'HF']",,1240000000.0
248,MnFeNi,['FCC'],298.0,"['CW', 'A']",3.52,554000000.0
249,Cr3Fe4Co7(Ni2Mo)2,"['FCC', 'mu']",298.0,"['CW', 'A']",,1194000000.0
250,Al7Cr23Fe23(CoNi)23,"['FCC', 'L12']",298.0,"['CW', 'A']",144,540000000.0
251,MnCrFeCuNi,"['BCC', 'FCC', 'FCC']",298.0,"['CW', 'A']",6.5,640000000.0
252,Nb0.206Cr1Fe1Co1Ni1,"['C14', 'FCC']",298.0,['AC'],150-200,807000000.0
253,Cr12.5Fe55Co17.5Ni10Mo5,"['FCC', 'mu']",298.0,"['CW', 'A']",26.3,718000000.0
254,MnCrFeCuNi,"['BCC', 'FCC']",298.0,['AC'],,950000000.0
255,Cr0.45Co0.14Cu1Si0.28Ni1.01,,298.0,"['CW', 'A']",,810000000.0
256,Cr1Fe1Co1Ni1Mo0.2,['FCC'],298.0,['A'],,902000000.0
257,MnV2Cr3Fe7Co2Ni5,['FCC'],298.0,"['CW', 'A']",11.2,660000000.0
258,AlCrFeCoCuNi,"['BCC', 'FCC', 'FCC']",973.0,['AC'],,360000000.0
259,Mn0.2Cr0.2Fe0.2Co0.2Ni0.2,['FCC'],298.0,"['CW', 'A']",,666300000.0
260,AlCrFeCoNi,"['B2', 'BCC']",973.0,['AC'],,400000000.0
261,Al12Cr18Fe35(CoNi)18,,973.0,['AC'],,340000000.0
262,Mn34.2Al7.4Cr5.9Fe39.6Ni11.2C1.1,,298.0,['A'],,978000000.0
263,MnCrFeCoNi,['FCC'],298.0,"['HF', 'A']",13,558000000.0
264,MnFeNi,['FCC'],298.0,"['CW', 'A']",1.75,536000000.0
265,Mn19.1Cr19.9Fe19.5Co20.6Ni20.9,['BCC'],298.0,"['CW', 'A']",,1415000000.0
266,Nb0.2Cr1Fe1Co1Ni2.1,"['FCC', 'laves']",298.0,['AC'],,537000000.0
267,CrCoNi,,77.0,['A'],16,1247000000.0
268,Al12Cr18Fe35(CoNi)18,"['B2', 'BCC']",298.0,['AC'],,1223000000.0
269,VCoNi,,298.0,"['CW', 'A']",2,1359000000.0
270,AlCrFeCoCuNi,"['BCC', 'FCC', 'FCC', 'sigma']",973.0,['HF'],,91000000.0
271,MnCrFeCoNi,['FCC'],298.0,"['CW', 'A']",30.6,598750000.0
272,Al0.3Cr1Fe1Co1Ni1,"['FCC', 'L12']",298.0,"['CW', 'A']",,850000000.0
